195.245.221.112 - - [18/Mar/2020:11:45:42 +0200] "GET / HTTP/1.1" 200 195 "-" "-" "Mozilla/5.0 (Windows NT 5.1; rv:9.0.1) Gecko/20100101 Firefox/9.0.1"
195.245.221.112 - - [18/Mar/2020:11:45:51 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:45:51 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:45:51 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:45:51 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:45:54 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:45:54 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:45:54 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:45:54 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:45:54 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:45:54 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:45:54 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:45:57 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:45:57 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:45:57 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:45:57 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:45:57 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:45:57 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:45:57 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:45:57 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:45:57 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:45:57 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:45:57 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:45:57 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:00 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:00 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:00 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:00 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:00 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:03 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:04 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
195.245.221.112 - - [18/Mar/2020:11:46:13 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 500 170 "-" "-" "-"
