May  8 02:56:27 Aborted login (auth failed, 1 attempts in 2 secs): user=<www>, method=PLAIN, rip=199.43.204.184, session=<NUTnoBelhcbHK8y4>
May  8 02:56:32 Aborted login (auth failed, 1 attempts in 6 secs): user=<information>, method=PLAIN, rip=199.43.204.184, session=<9BHwoBelXcfHK8y4>
May  8 02:56:32 Aborted login (auth failed, 1 attempts in 6 secs): user=<project>, method=PLAIN, rip=199.43.204.184, session=<rnL2oBel68fHK8y4>
May  8 02:56:32 Aborted login (auth failed, 1 attempts in 6 secs): user=<demo>, method=PLAIN, rip=199.43.204.184, session=<8UDtoBelEcfHK8y4>
May  8 02:56:32 Aborted login (auth failed, 1 attempts in 6 secs): user=<club>, method=PLAIN, rip=199.43.204.184, session=<62vzoBelocfHK8y4>
May  8 02:56:32 Aborted login (auth failed, 1 attempts in 6 secs): user=<sales>, method=PLAIN, rip=199.43.204.184, session=<ynzqoBel0MbHK8y4>
May  8 02:56:33 Aborted login (auth failed, 1 attempts in 6 secs): user=<cv>, method=PLAIN, rip=199.43.204.184, session=<92T5oBelOMjHK8y4>
May  8 02:56:33 Aborted login (auth failed, 1 attempts in 6 secs): user=<fax>, method=PLAIN, rip=199.43.204.184, session=<kZUGoRelgsnHK8y4>
May  8 02:56:33 Aborted login (auth failed, 1 attempts in 6 secs): user=<office>, method=PLAIN, rip=199.43.204.184, session=<Zbr8oBelgMjHK8y4>
May  8 02:56:33 Aborted login (auth failed, 1 attempts in 6 secs): user=<admin>, method=PLAIN, rip=199.43.204.184, session=<LPsCoRelFMnHK8y4>
May  8 02:56:33 Aborted login (auth failed, 1 attempts in 6 secs): user=<feedback>, method=PLAIN, rip=199.43.204.184, session=<K9j/oBelxcjHK8y4>
May  8 02:56:34 Aborted login (auth failed, 1 attempts in 6 secs): user=<jobs>, method=PLAIN, rip=199.43.204.184, session=<25MSoRel+srHK8y4>
May  8 02:56:34 Aborted login (auth failed, 1 attempts in 6 secs): user=<training>, method=PLAIN, rip=199.43.204.184, session=<l1UVoRelQsvHK8y4>
May  8 02:56:34 Aborted login (auth failed, 1 attempts in 6 secs): user=<property>, method=PLAIN, rip=199.43.204.184, session=<bXYJoRelzMnHK8y4>
May  8 02:56:34 Aborted login (auth failed, 1 attempts in 6 secs): user=<www>, method=PLAIN, rip=199.43.204.184, session=<MwwIoRelncnHK8y4>
May  8 02:56:34 Aborted login (auth failed, 1 attempts in 6 secs): user=<bill>, method=PLAIN, rip=199.43.204.184, session=<FEsPoRele8rHK8y4>
May  8 02:56:34 Aborted login (auth failed, 1 attempts in 6 secs): user=<default>, method=PLAIN, rip=199.43.204.184, session=<DUMMoRelJMrHK8y4>
