
37.139.99.16 - - [21/Dec/2019:04:49:51 +0200] "GET / HTTP/1.1" 301 178 "-" "Mozilla/5.0 (Windows NT 5.1; rv:9.0.1) Gecko/20100101 Firefox/9.0.1"
37.139.99.16 - - [21/Dec/2019:04:49:51 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 400 166 "-" "-"
37.139.99.16 - - [21/Dec/2019:04:49:51 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 400 166 "-" "-"
37.139.99.16 - - [21/Dec/2019:04:49:51 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 400 166 "-" "-"
37.139.99.16 - - [21/Dec/2019:04:49:51 +0200] "GET / HTTP/1.1" 200 195 "-" "-" "Mozilla/5.0 (Windows NT 5.1; rv:9.0.1) Gecko/20100101 Firefox/9.0.1"
37.139.99.16 - - [21/Dec/2019:04:49:51 +0200] "GET / HTTP/1.1" 200 195 "-" "-" "Mozilla/5.0 (Windows NT 5.1; rv:9.0.1) Gecko/20100101 Firefox/9.0.1"
37.139.99.16 - - [21/Dec/2019:04:49:51 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 400 166 "-" "-" "-"
37.139.99.16 - - [21/Dec/2019:04:49:51 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 400 166 "-" "-" "-"
37.139.99.16 - - [21/Dec/2019:04:49:51 +0200] "CONNECT www.msftncsi.com:443 HTTP/1.1" 400 166 "-" "-" "-"
37.139.99.16 - - [21/Dec/2019:04:50:36 +0200] "GET /HNAP1/ HTTP/1.1" 200 82 "-" "-" "Mozilla/5.0 (Windows NT 5.1; rv:9.0.1) Gecko/20100101 Firefox/9.0.1"
37.139.99.16 - - [21/Dec/2019:04:50:36 +0200] "GET /HNAP1/ HTTP/1.1" 200 82 "-" "-" "Mozilla/5.0 (Windows NT 5.1; rv:9.0.1) Gecko/20100101 Firefox/9.0.1"
37.139.99.16 - - [21/Dec/2019:04:50:46 +0200] "GET /HNAP1/ HTTP/1.1" 200 82 "-" "-" "Mozilla/5.0 (Windows NT 5.1; rv:9.0.1) Gecko/20100101 Firefox/9.0.1"
37.139.99.16 - - [21/Dec/2019:04:50:46 +0200] "GET /HNAP1/ HTTP/1.1" 200 82 "-" "-" "Mozilla/5.0 (Windows NT 5.1; rv:9.0.1) Gecko/20100101 Firefox/9.0.1"
37.139.99.16 - - [21/Dec/2019:04:50:56 +0200] "GET /HNAP1/ HTTP/1.1" 200 82 "-" "-" "Mozilla/5.0 (Windows NT 5.1; rv:9.0.1) Gecko/20100101 Firefox/9.0.1"
37.139.99.16 - - [21/Dec/2019:04:50:56 +0200] "GET /HNAP1/ HTTP/1.1" 200 82 "-" "-" "Mozilla/5.0 (Windows NT 5.1; rv:9.0.1) Gecko/20100101 Firefox/9.0.1"
37.139.99.16 - - [21/Dec/2019:04:51:07 +0200] "GET /hudson/script HTTP/1.1" 200 82 "-" "-" "Mozilla/5.0 (Windows NT 5.1; rv:9.0.1) Gecko/20100101 Firefox/9.0.1"
37.139.99.16 - - [21/Dec/2019:04:51:07 +0200] "GET /hudson/script HTTP/1.1" 200 82 "-" "-" "Mozilla/5.0 (Windows NT 5.1; rv:9.0.1) Gecko/20100101 Firefox/9.0.1"
37.139.99.16 - - [21/Dec/2019:04:51:17 +0200] "GET /hudson/script HTTP/1.1" 200 82 "-" "-" "Mozilla/5.0 (Windows NT 5.1; rv:9.0.1) Gecko/20100101 Firefox/9.0.1"
37.139.99.16 - - [21/Dec/2019:04:51:17 +0200] "GET /hudson/script HTTP/1.1" 200 82 "-" "-" "Mozilla/5.0 (Windows NT 5.1; rv:9.0.1) Gecko/20100101 Firefox/9.0.1"
37.139.99.16 - - [21/Dec/2019:04:51:27 +0200] "GET /hudson/script HTTP/1.1" 200 82 "-" "-" "Mozilla/5.0 (Windows NT 5.1; rv:9.0.1) Gecko/20100101 Firefox/9.0.1"
37.139.99.16 - - [21/Dec/2019:04:51:27 +0200] "GET /hudson/script HTTP/1.1" 200 82 "-" "-" "Mozilla/5.0 (Windows NT 5.1; rv:9.0.1) Gecko/20100101 Firefox/9.0.1"
37.139.99.16 - - [21/Dec/2019:04:51:37 +0200] "GET /script HTTP/1.1" 200 82 "-" "-" "Mozilla/5.0 (Windows NT 5.1; rv:9.0.1) Gecko/20100101 Firefox/9.0.1"
37.139.99.16 - - [21/Dec/2019:04:51:37 +0200] "GET /script HTTP/1.1" 200 82 "-" "-" "Mozilla/5.0 (Windows NT 5.1; rv:9.0.1) Gecko/20100101 Firefox/9.0.1"
37.139.99.16 - - [21/Dec/2019:04:51:47 +0200] "GET /script HTTP/1.1" 200 82 "-" "-" "Mozilla/5.0 (Windows NT 5.1; rv:9.0.1) Gecko/20100101 Firefox/9.0.1"
37.139.99.16 - - [21/Dec/2019:04:51:47 +0200] "GET /script HTTP/1.1" 200 82 "-" "-" "Mozilla/5.0 (Windows NT 5.1; rv:9.0.1) Gecko/20100101 Firefox/9.0.1"
37.139.99.16 - - [21/Dec/2019:04:51:57 +0200] "GET /script HTTP/1.1" 200 82 "-" "-" "Mozilla/5.0 (Windows NT 5.1; rv:9.0.1) Gecko/20100101 Firefox/9.0.1"
37.139.99.16 - - [21/Dec/2019:04:51:57 +0200] "GET /script HTTP/1.1" 200 82 "-" "-" "Mozilla/5.0 (Windows NT 5.1; rv:9.0.1) Gecko/20100101 Firefox/9.0.1"
